_id,LOCATIONID,ASSET_ID,ASSET_NAME,TYPE,AMENITIES,ADDRESS,PHONE,URL,geometry
1015,1007,357,FAIRHAVEN PARK,Park,"Basketball Court, Outdoor Fitness Equipment, Playground",100 GOLFWOOD HTS,None,https://www.toronto.ca/data/parks/prd/facilities/complex/1007/index.html,"{""coordinates"": [[301080.8946225923, 4840289.557122988]], ""type"": ""MultiPoint""}"
1016,144,385,FRANKEL - LAMBERT PARK,Park,"Basketball Court, Outdoor Ping Pong/Table Tennis, Playground",340 CHRISTIE ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/144/index.html,"{""coordinates"": [[310892.2338037847, 4836914.704505933]], ""type"": ""MultiPoint""}"
1017,376,560,JOSEPH WORKMAN PARK,Park,Playground,90 SHANK ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/376/index.html,"{""coordinates"": [[311485.18262284313, 4833562.302091082]], ""type"": ""MultiPoint""}"
1018,1097,915,SALEM PARKETTE,Park,Outdoor Fitness Equipment,9 SALEM AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/1097/index.html,"{""coordinates"": [[310342.027874559, 4835710.908733157]], ""type"": ""MultiPoint""}"
1019,2132,1636,BEECHGROVE PARK,Park,Playground,182 BEECHGROVE DR,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2132/index.html,"{""coordinates"": [[332115.443282284, 4847744.706086225]], ""type"": ""MultiPoint""}"
1020,973,1314,GARLAND PARK,Park,None,65 JOHN GARLAND BLVD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/973/index.html,"{""coordinates"": [[298111.19722238794, 4843584.098601649]], ""type"": ""MultiPoint""}"
1021,318,1468,PRINCE EDWARD VIADUCT PARKETTE,Park,None,725 BLOOR ST E,None,https://www.toronto.ca/data/parks/prd/facilities/complex/318/index.html,"{""coordinates"": [[315469.2769947396, 4837132.496363575]], ""type"": ""MultiPoint""}"
1022,847,599,LAMBTON - KINGSWAY PARK,Park,"Ball Diamond, Pickleball Court, Playground, Tennis Court",37 MARQUIS AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/847/index.html,"{""coordinates"": [[304170.62396280665, 4835292.242945732]], ""type"": ""MultiPoint""}"
1023,2477,1062,TRUE DAVIDSON PARK,Park,None,160 MEMORIAL PARK AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2477/index.html,"{""coordinates"": [[318508.12350028, 4839146.945934834]], ""type"": ""MultiPoint""}"
1024,2237,242,CRAIGTON COURT TOT LOT,Park,Playground,14 CRAIGTON DR,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2237/index.html,"{""coordinates"": [[320809.01718288753, 4843136.781170522]], ""type"": ""MultiPoint""}"
1025,2653,1060,TRIPLE CROWN PARKETTE,Park,Sports Field,93 D TRIPLE CROWN AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2653/index.html,"{""coordinates"": [[296719.90745276026, 4842834.2307657385]], ""type"": ""MultiPoint""}"
1026,832,477,HENRIETTA PARK,Park,Playground,1 A HENRIETTA ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/832/index.html,"{""coordinates"": [[306341.4006099313, 4836780.165631926]], ""type"": ""MultiPoint""}"
